#1_id	#2_content	#3_label
TRAIN_6438	#من_الرموز_المصريه_المشرفه تتذكري لما قولتيلي انك راح تتجوزيني بلا فلوس وبلا بيت تتذكري كنتي تحبيني مع اني مش داخل دينك تتذكري كيف كنا هيك	egypt
TRAIN_3641	مابغيتك فتره . . بغيتك لسنين قدام .	qatar
TRAIN_12319	دا شكلوا غبي ياما URL	oman
TRAIN_19783	لو قدرت أتخطى هذي الليلة بقدر أتخطى اي شي في الحياة .	oman
TRAIN_19816	شكرا حبي سهمج وصل مواه مع السلامه	iraq
TRAIN_15830	جا شكد واصله مرحلة من الضعف احزابنا ومليشياتها من تدز راقصات بالشوارع تشويه للمظاهرات !	iraq
TRAIN_4700	#العيد_الوطني_ال49_المجيد #العيد_الوطني اذا عرفتوا حد يبيع هالشعار قريبا حطو لي منشن URL	oman
TRAIN_3425	هه رجل اعمال كنت بوقتها	jordan
TRAIN_4499	اقنعيه و راح تعجبه البلد والطبيعه	oman
TRAIN_11621	و انا كمان يا ماي لڤلى سيسترر	egypt
TRAIN_10259	حبيبى يا وسام	iraq
TRAIN_529	USER احب الخصوصية ، لكن للاسف كل اخوياي يعرفون الرقم السري يعني بس منظر جمالي لا أكثر	ksa
TRAIN_19610	#القصيره_ولا_الطويله القصيره مافيها كلام	syria
TRAIN_344	يحلمو بيهم من كثر التفكير وكرهم ليهم	libya
TRAIN_19175	هذا واحد من العيال ببلاستيشن	ksa
TRAIN_12745	لالا شد حيلك كده انا لسة جايلك بليل يا قلبى	egypt
TRAIN_14765	العشم لغير الله ، قلة قيمة .	sudan
TRAIN_6930	صفيها ورقد فيها	algeria
TRAIN_4347	بصفه عامه شوارع البريقه وراس لانوف مريحات بطريقه غريبه	libya
TRAIN_19747	' ماني ب مجبور أحايل عقلك الطايش ولا ابرر وأسمع منك \ ' تبريرك \ ' معاك ولا بدونك عاايش عايش ما هي بتوقف عليك ولا على غيرك : ) '	kuwait
TRAIN_6535	طب ايه طيب	egypt
TRAIN_18029	مافي أحد يشتاق لك . . بصوت شادي بن عبدالله URL …	iraq
TRAIN_20419	النوم هرب شكله	libya
TRAIN_8256	احتاج شخص يفكر بدالي ويعطيني الشيء الصح .	ksa
TRAIN_14526	USER اكيد ما غلط . . وكل انسان يحب	oman
TRAIN_5071	هب ايه التصحيات اللي قدمها ؟ ! !	egypt
TRAIN_607	مثنى الذهب الله يحفظك عيوني تسلم والله ملتهية بالدراسة بعد ، شخبارك	iraq
TRAIN_13615	كل عام وانتي بخير ياللي مابعد حسنج كلام ومابعد وجهج غزل ! USER	kuwait
TRAIN_2325	كتير كتير زنخ ومو لابقلو شي	syria
TRAIN_10054	يل قلبك كلو حنية . . يلي الخير بقلبك وبروحك مزروع . . مابستغرب خيرك . . ولا قلبك . . هيك بعرفك وهيك تعودت . . افرح فيكي وارفع راسي فيكي . . يارب يعطيكي اكتر واكتر . . ويبعد عنك ذوي الوجهين . . اللهم امين دمتي بخير #نجوى_كرم USER	syria
TRAIN_16647	جون السنغال التاني مضحك فشخ	egypt
TRAIN_18432	USER اكو غسالة مواعين ^^ وال disposable مزعجة @	iraq
TRAIN_18262	لاقين بطل ماي بالحوض ليلحين محد قادر يطلعه	kuwait
TRAIN_19248	سعيد المولد ، اتوقع رؤية المملكه ٢٠٣٠ بتفشل بسبب تواجده	ksa
TRAIN_10452	اذا انت تخاف بغيابي تعيش شلون ترى خوفي ثلاث أضعاف من خوفك . يراودني شعور … إني بدون عيون إذا مر المساء ، من غير ما آشوفك ! !	kuwait
TRAIN_14196	جمعة مباركة وتصبح على خير	algeria
TRAIN_13952	بتشغلو ٣٠ مره في الخروجه	egypt
TRAIN_18539	ماعليك منهم بس لا تمددها . . يلا انت وياها كل واحد على فراشه بسرعه هه #تمديد_الاجازه_للثلاثاء URL	ksa
TRAIN_930	عاجل تم صعود حنان الفتلاوي عديلة حمود عواطف نعمة وميسون الدملوجي وصباح عبدالرسول التميمي أيشرن اهدوم فوق السطح	iraq
TRAIN_2333	انا اعرف ل*وه بتلبس ابيض برضو الاهلي بفايلر طلع الشوط بنفس النتيجه وجهت نظر امك ساعتيها كان اي	egypt
TRAIN_262	لا بس الدماغ جايه بسرس	egypt
TRAIN_14518	التفكير المفرط كيجيب الزهايمر الله يستر التفكير المفرط من صفات العذراء ؟ !	morocco
TRAIN_17599	لكن يرد علييهم الليوو	algeria
TRAIN_13176	عطية وليلة الجري بالملاعبية	libya
TRAIN_551	اي والله صح هه	algeria
TRAIN_7342	لا والله ماجاني شي	ksa
TRAIN_2804	I liked a USER video URL Karam Hayda Haki نجوى كرم - هيدا حكى	iraq
TRAIN_3525	• عن إنسآنةة نفسك تحكيلهآ : انتي مش ملآحظةة إنه صرلنا فتره بعآد عن بعض ! م رآيفتلش ؟	libya
TRAIN_8120	مفيش صاحب يتصاحب	egypt
TRAIN_17543	. USER انا لا واتوقع اغلب الناس كمان لا . من فترة طلعت اخبار انه جوجل يمكن توقف جوجل بلس لانه الناس ما بستخدموه . .	jordan
TRAIN_2055	ليته قريب ليت كل ماتعبت ضميته . .	uae
TRAIN_7634	#حبيبتي_مني_اسف_واحبك ليه مافي علاقة كره مثل ما فيه علاقة حب ؟ يعني أكرهك وتكرهني و أغار لو حد كرهك اكثر مني .	uae
TRAIN_8662	اخييرراا خلصت امتحانات وراجع للنجف - يشعر ب الراحة	iraq
TRAIN_8335	ما قالك افرحى بيا . .	libya
TRAIN_13656	السكان الاصليين . والله لا فكروني فالكواميك	algeria
TRAIN_4926	ايوه يا صرمه كيف السد خخ مدعوس يا وضيع	ksa
TRAIN_4921	ارفق علينا ياسديس زمانك ليه شايفني ارسلت شي اباحي	ksa
TRAIN_17278	كييفو اقال مدربه بعد التعادل مع ميلان . . و #ميلان جدد الثقة باليغري أخذها من اليغري ولا بينات : )	ksa
TRAIN_6259	' \ ' خش ناملك ساعتين \ ' مود : ( ( '	egypt
TRAIN_13983	وأنا الصوره الي مكسوره في بروزها ولا حاجه من الاتنين بتتصلح	egypt
TRAIN_20327	شميت عطره في محل العطورات وهلت دموعي والعشق يهتويني سألني الكاشير : وشبك سلامات قلت العطر ( بخيته ) ابوسط عيني ! ”	oman
TRAIN_17514	كيف تفتح فيزا سياحيه بليز ردي اني عراقيه واتمنى احظر كونسرت سعوديه	iraq
TRAIN_17277	خلص الاحساس كلو	palestine
TRAIN_6582	يحتاج كميه من الزيتول لان الذيول عدنا اكثر من التمن	iraq
TRAIN_17785	ربنا يبكيهم العمر كله	egypt
TRAIN_18991	انت قلت نسيبك انا ما قلتش قلت يقربلك	algeria
TRAIN_2184	يارب دول بيقلوا عن ٤ URL …	egypt
TRAIN_3179	محتاجه صحابي كلهم دلوقتي ' ( (	egypt
TRAIN_12045	وأغاني بعد فراقها متغنتش . .	morocco
TRAIN_1212	رايحه الاختبار قافله معي و واخوي مشغل اغاني هابده , الله يوفقني بس . URL	iraq
TRAIN_9983	بتكلم بقلب جامد مع الدنيا لانى عارف ان الحكاية كلها فى حجرى,ومن حولى عميان .	egypt
TRAIN_14310	الليلة حتكون مليونية كلنا ضد البلطجية URL	lebanon
TRAIN_12804	صباح الورد حلمت حلمة محلاها يا رب تتحقق وإنشاء الله ديما فرحان	tunisia
TRAIN_5169	USER انا ماقلت اني يستر عليه هو يقدر يستر ع نفسسه انا قلت الصصج الي هو قاله بس الي قاله حق كم بنت اهني .	qatar
TRAIN_8265	صدقني فكيتها من فمي	tunisia
TRAIN_6571	لا نا فرحان من زمان من بداية الثورة الجملية . .	libya
TRAIN_3654	Soon لو مستني شجع	egypt
TRAIN_15698	ال بلا وفا #نديم_ماجور_ونص	lebanon
TRAIN_19113	تعودنا البركة بالفيقة بكير	lebanon
TRAIN_15171	انا كنت خايفه ارد والله ومردتش من اول مره انا قاعده في حالي والله	egypt
TRAIN_9670	محملوة و معايا من غير ولا مليم	egypt
TRAIN_1522	الأحباب والقوادم عالوعد مكملين URL	lebanon
TRAIN_19049	يشهد الله ان اجملل ' تواريخخ عمريي ، يوم عرفتكك	uae
TRAIN_16858	وهتفضل درايه غلطه عمري والله	egypt
TRAIN_6564	USER نفس الجملة تنطبق علي لماكنت في ميشقان أبغى أهج لأي مكان وكل اسبوع اشيك بكم التيكت	ksa
TRAIN_10589	هشام حداد يثبت يوم بعد يوم انو طائفي بامتياز ومليان حقد	lebanon
TRAIN_11825	اييه رجعنا لطير يالي عليا ديون ٣٠٠ مليون اسدلك خمسين ولا أجيب الي تلاعب في ام الديون وأخذ افضل لاعب لك وانتا ماتقدر تسجل يا رجل وربي انك متخلف كرويا سيبك الجنان وطحلبت الدماغ وكلمني مزبوط	syria
TRAIN_7039	جاتكم رسايل التنبيه من المطر وزخات البرد حظنا سجه مطر وحن صيام	syria
TRAIN_9534	خليك واثق في نفسك	oman
TRAIN_16838	. موش ديما إلي ترتاحلو يرتاحلك . . وإلي تحبو يحبك . . دنيا مافيهاش أمان يا لعزيز : )	tunisia
TRAIN_12144	كلو من عامر المهم انو ما ضل غير القليل خلي همتك عالية واثقين فيكي كلنا	syria
TRAIN_3080	تعال وحط ايدك على قلب مغليك وتسمع لنبضات قلبن يحبك . في ذمتي انه من اقصاه هاويك وانه يعيش اجمل غرام بقربك . . #الرايد_النصر URL	ksa
TRAIN_4059	يا عم حافظ وعارف	egypt
TRAIN_8140	الاخبار اللي تفرح ع الصبح URL …	egypt
TRAIN_18358	الحوت الازرق صرخ على طول رقبته بعد خطم على برقه ( استيقظوا ) يادراويش	libya
TRAIN_6036	ربنا ع الظالم والمفترى URL	egypt
TRAIN_16920	طيب انا مازكمت	yemen
TRAIN_8198	اصالة ليه كل الناس بتتكلم علي كل الناس	egypt
TRAIN_20119	ايه نعم برد	iraq
TRAIN_1597	كان يوم مليء بالمتخلفين كرويا يلا وقت نوم	jordan
TRAIN_17608	كم ضغوطات رهيب نزل على دماغى مرة واحدة	egypt
TRAIN_14252	الله يتتم لك على خير	yemen
TRAIN_40	#الهلال_الشباب هاردلك لليوث الفريق لازال في مرحلة البناء لعيبه صغار سن فيه اخطاء صانع لعب ممتاز مطلب في الشتوية بديل للاسطا مهاجم محلي جيد	syria
TRAIN_14686	حبيبي النا الشرف	iraq
TRAIN_17825	تعبت من كتر تعانات الناس ليا	egypt
TRAIN_249	سنغافورة دوله حديثة العهد أصبحت هكذا في 30 عام أهم شي العشر فردات خبزه بربع . مراسل طبرق URL	libya
TRAIN_15858	منشان زوجها رائد بتقتل الناس URL …	syria
TRAIN_18047	حسويهن لعد بدون اللبن لان اتحسس منة عاشت ايدج	iraq
TRAIN_5236	بالضبط خال عفيه عليك احنه شباب واعي نقيمك ع افعال ومجالك الفني هذا ع صفحه بليز	iraq
TRAIN_10892	احنا ملناش دخل	jordan
TRAIN_6822	ففييتتششوو ياعمي ياعمميي	iraq
TRAIN_7909	حرام تهجر ضنينك	syria
TRAIN_7354	مو هي مال الخلفوه	iraq
TRAIN_1509	التقييم من عشرة هو نفسه المقارنة بطني وجعتني	morocco
TRAIN_976	رقاد وكان جا ينفع نفع القط	algeria
TRAIN_17627	قمة البؤس ان الميد تيرم ميتلغيش والرحلة تتلغي بس خلاص انا نفسي اتسدت	egypt
TRAIN_5527	يا جماعة هذا الغراب ماله غبي الف مرة قولنالك لا تتدخل فيما لا يعنيك انت ما تفهمش تتعدى حدودك ينتهي وجودك حماار الله غالب . #بوتفليقة	algeria
TRAIN_951	اول ليفل في الإلحاد	egypt
TRAIN_6200	هم هم ماكلة	algeria
TRAIN_13963	حبيبي ربنا يكرمك ويوفقك السنادي يارب ويخليك لينا URL …	egypt
TRAIN_13342	وش معنى طرش البحر لو سمحتم . . ؟ !	algeria
TRAIN_20703	من الحين متحمسة لأجواء التخرج .	oman
TRAIN_10547	كله بفضل باور فاميلي #ضاضا_بيحلبهم URL	egypt
TRAIN_9872	دخلي عند الكساله حاطه الرابط فالبايو	morocco
TRAIN_368	اكثر شي استمتع بيه لمن انسان يجذب عليك و انت تعرف كل الي يكولة بجذبه و بصدكه و لمن يدعي اشياء و انت تعرف كلش زين هل اشياء مو حقيقيه يا اخي ونسه خصوصا لمن تسايرة بيهن و تقنعه انو انت مصدك	iraq
TRAIN_615	انا شفت نشره من الوزاره محددين سن معين وهو ٤٠ سنه مايعطون ايفاد للمعلمه ماادري صحيح او لا	ksa
TRAIN_3110	لا واضح إن الديربي موللع	bahrain
TRAIN_5715	بلدنا جميله والله . . كفايه اشاعات مغرضه URL …	egypt
TRAIN_14298	مش موديناا ف دااهيه الاا كداا حضرتك	egypt
TRAIN_2320	رووقتت ع اصواتهم ) ) : URL …	uae
TRAIN_207	لا ولو يا شذا انتو اكبر اوو مش قصدي عن الخدمات والله	palestine
TRAIN_4944	يارب كل المسلسلات الي راح تنزل تكون خايسة ، خلاص م عندي وقت لهم	oman
TRAIN_10219	حنوا عليكوا ولا ايه	egypt
TRAIN_4339	اي عميل مثله يستاهل	ksa
TRAIN_6853	متفهميش الراجل غلط يمكن عايز يجوزك لابنه	egypt
TRAIN_2598	اي و انا كمان . . متوقعة . . متوقع URL …	syria
TRAIN_2795	البيبي كيوت ماشاء الله	iraq
TRAIN_15758	هو شائع جدا بالثانية والثالثة بس هذا الشي ما يعني انه ما يحصل ببقية العظام	iraq
TRAIN_14028	اشتغلوا باللعب القذر	qatar
TRAIN_20042	ربع ساعة بس يعني انت كنت متوقع منو ايه	palestine
TRAIN_7830	الله يجعلهن سنتين URL …	iraq
TRAIN_19624	لا صورنا تاني بقا انا مش باين	egypt
TRAIN_165	اي طبعا هي منكم وإليكم واحنا عائلة مهجرة من العراق ومن زمان تستنجد وتستغيث وتطلب الفزعة الفزعة لمساعدتنا . ولما تقدمون المساعدة تطلبون منا مقابل والفقير ماعندا يأكل	iraq
TRAIN_4312	كل ما تبعد عن عيون الناس تعيش ف سعاده اكتر	egypt
TRAIN_17927	مابعدني عن وصالك غير طهر سلومي الهوى يبغى فواد من الحياء متجرد .	jordan
TRAIN_222	- ابسط انواع العذاب غرفة ما يوصلها النت ›	ksa
TRAIN_20967	سبحان الله متقرمطين والتعب فى وجوههم باين . . لقد تحررنا وحررنا الوطن URL	egypt
TRAIN_14840	الفيديوز متع نحبهم بس يسببولي في صداع من التفكير بعدها	libya
TRAIN_17395	الترند بقا اوفر بصراحة بس حلو URL	egypt
TRAIN_3830	الناس ف تويتر من فين تجي ؟	syria
TRAIN_11360	مشكله اللي واثقين	uae
TRAIN_2268	ياخ غرييبين شديد والله ! المهم اللهم آمين يارب تسلمي يا جميلة	sudan
TRAIN_16243	إياك و الحب يا صديقي ف الحب ضعف و أنت أسد يالا ف أيه	egypt
TRAIN_4564	فى حاجات بينقص معناها لو بالشفايف قلناها احساسها كفاية	egypt
TRAIN_15969	ياارب يسهلك ويسهلي ان شاء الله وماتقوليش لا هه	algeria
TRAIN_19037	غيابك يشبه وصالك . . وصلك طول الغيبة	ksa
TRAIN_13864	حسين الديك - دبكة كيفية مع احلى صيفية | Hussein Al Deek - Dabke URL	iraq
TRAIN_19940	تراني فالشارجة عشان اكون قريبه منج	tunisia
TRAIN_10676	عمرنا مادورناها قلت ركز^^ مسر تحكي بلغة الجمع يمكن انت مادورش لكن غيرك ايدور يا أستاذ وعن تجربة وبرضو لو نبي نصدق أنكم مادورش والخ انا مانرضش يا أستاذ بلغة تعميم ولا دينه يرضى ! ! قولي اي مصطلح ولصق كلمة شراقة ماعندش مشكلة	libya
TRAIN_20801	هو اتمنى لو يكون صحيح لان الاعب كانتي ماله مكان بالتشكيله وتوظيفه بالتشكيله مختلف عن امكانياته	ksa
TRAIN_1843	الحب مجرد خرافة لان تؤمنون بيها هل تصير وياكم حالها حال السحر والحسد وبعدين هتلر كتل ناس بكد شعر راسي وهو عنده حبيبة إيفا براون ويكول عندما تحب عدوك تجعله يشعر بسخافته فعلا الذهاب للقتال من دون كراهية شيء رائع	iraq
TRAIN_13945	USER هذولي معلقين بطولات الحواري في جدة	ksa
TRAIN_13189	مفيش شغل تانى	egypt
TRAIN_7	م تبطلي خرا بقا علشان مطلعهوش عليكي احترمي نفسك URL …	egypt
TRAIN_7686	USER مرات من المكارين ياعبيسي	libya
TRAIN_14181	دي احلي مورنينج تيكست	egypt
TRAIN_14439	أعجبني فيديو USER على URL أمل خضير - يا يمه ثاري اهواي	iraq
TRAIN_1178	* * لما تدخل تتعرف علي واحده من جروبات الاكل * * URL	egypt
TRAIN_9245	مكانك كان في قلبي وسيبته يروح	egypt
TRAIN_18395	مابتامن فيكي تشتري لانو مابتعرفي	iraq
TRAIN_11043	USER حبيبي بوحميد ، ، مانقدر ع العالمي ، ، عشق الطفولة	ksa
TRAIN_12360	زجاج السيارة عديل لكن ياخ شلل وقتي ده	tunisia
TRAIN_18261	' كنت اعاني من الكثير من المشاكل ولكن بعد ما قالولي \ ' وسع بالك \ ' لقد تحسنت حالتي وانتهت مشاكلي ، يا إلهي لا أصدق ! '	tunisia
TRAIN_12415	حتى انا ما قتلو والو	algeria
TRAIN_9867	مش عاوز افاجئكم اعرف واحد تريبل وعنده ٣٢ سنة URL …	egypt
TRAIN_6513	لا يلي بتابع تغريداتك بيعرف انك شب	iraq
TRAIN_8259	ما دخلني هاد عمنا جوجل	palestine
TRAIN_4875	والنعم بأهل الكرم والشهامة	oman
TRAIN_14567	ترد الروح شوفتك لو هي دقايق	uae
TRAIN_2732	' الله على الصوت الثوري \ ' ثوري و بقرون كمان \ ' '	lebanon
TRAIN_6298	جماله بقصر الحمراء أوفر وتمثيله جبار هاد غير الكاريزما	palestine
TRAIN_465	كان نفسي يسطا والله	egypt
TRAIN_4820	أتذكر اني استويت مصخرة ف ذاك اليوم	oman
TRAIN_14463	الله يرزقني خلك المراهقات الي يحبون الكوريين حب حب يعني ! جديات انتي منطقيه من تحبين مخلوق مختلف عنج بكلشي مايجمعكم غير كوكب الارض وتنفس الاوكسجين ! حتى مظهريا ماعرف شون يتقبلوهم يعني وتف ويسوون كومكس وتخييلات واشياء غريبة عجزت اتقبلها انا مااقيد حريات العالم بس مدري شقول	iraq
TRAIN_15618	يضحك لانه صدق URL …	oman
TRAIN_14618	في يوم هنسيبها واخذين ايه مادام سايبنها سايبنها حنضايق ونزعل لييه ! !	iraq
TRAIN_10928	سيبك من الطويل . . وخليك مع الأطول . . #رز_مصطفى . .	jordan
TRAIN_19232	المشكل عالمي يا اختي مش فالجزائر برك	algeria
TRAIN_7500	اي كلام ف اي حاجه	egypt
TRAIN_14540	USER تاري شيخ الشباب حبو بيكوي كوي	algeria
TRAIN_9296	بالضبط اليوم النت ف البيت يووه	lebanon
TRAIN_3032	وجماعة هذا ليس ما يريده الشعب كيفاش نديرو معاهم ! !	algeria
TRAIN_1870	أقوى . . أصلب . . والإيمان عم يكبر . . منتصرين على فرد قلب#بحبك يا لبنان ٢٠١٧ URL	lebanon
TRAIN_2989	USER وأنت بصحة وسلامة الغالي وربي يحقق لك أمانيك	oman
TRAIN_4745	معقوله هاي اسعار التفعيل الجديد ! ! ؟ ؟ URL	iraq
TRAIN_1567	انته اخوانجي لو شنو	iraq
TRAIN_12668	الليل يكصر لو كعد يمك عزيز	iraq
TRAIN_11542	الماسنجر بيعمل ريبلاى عالمسدج ودى من اعظم انجازات الفيسبوك ٢٠١٩ بجد	egypt
TRAIN_6520	USER النور نورك بو سليمان	oman
TRAIN_6223	هناخد الاتنين ان شاء الله	lebanon
TRAIN_19436	والله حتى انا كوتش ونهار يبداو يشكيو نجبد الكابتور	algeria
TRAIN_18224	فين الخط الساخن طيب يا صاحبى	egypt
TRAIN_10150	ان شاء الله نلقاو الحل	algeria
TRAIN_19575	عندي اكتئاب مش هيروح الا بصوت ختم الجواز	morocco
TRAIN_6501	مش عارف ايه انتى حتى الكلمات مش حفظاها ياست	syria
TRAIN_390	الله يسلمك وياك يارب	ksa
TRAIN_20760	تجمع سوائل حوالين القلب وهيا حالة طارئة تحتاج تدخل سريع لأنها تمنع القلب انها تضخ الدم	ksa
TRAIN_16985	النكد بضل طول اليوم مبعد عنك ولما بمسكك بمسكك صح	jordan
TRAIN_19430	يب يب ي رب اوصل له	egypt
TRAIN_423	الله يعزك مروان يا باهي	tunisia
TRAIN_9615	USER تصدق شكله مجرم	egypt
TRAIN_15134	الرئيس لن يكون من الأوجه القديمة . . النظام العالمي يتغير . . شوفي برك تونس . . و أمريكا و بريطانيا قبلها و الجزائر لن تكون الطفرة . . سما الرئيس القادم لن يكون من الحرس القديم او من الشرعية الثورية	algeria
TRAIN_9684	ولك بيرقن في القلب حبك يهبه شامخ ولاهزة من العذل غارات	ksa
TRAIN_5653	529 مليون . . ده شوية فكه ! !	egypt
TRAIN_17806	- مالك =حاسس انى وحيد * seen * * after 2 days * =ماتقولش كده انا جمبك	egypt
TRAIN_6255	يا لليل ذا السلق كم انتم لطيفين يا سلقي URL	bahrain
TRAIN_16049	اللي يبي يسجل التسجيل مفتوح لفتره محدوده URL	oman
TRAIN_8578	' بكرة الايام تبين ، من قاسي ومن حنين . \ ' خذ الحكمة من افواه الكاولية \ ' '	iraq
TRAIN_19449	روح يا قمر الليل ونام ده السكوت زي الكلام	egypt
TRAIN_13673	هات فولو مع تم اردها بثواني	ksa
TRAIN_11931	#VoteTHPEXO لأن طلعت اذاكر ، م فيه غيوم وانا حزينة احس ببكي ااجو حلو وم فيه غيوم	egypt
TRAIN_6157	ودي اعاتبك لكن وش حيلتي لا صرت ماهمك	uae
TRAIN_12077	انا عن نفسي دخلت وندمت فمدري عنك عاد ؟	iraq
TRAIN_479	مطول الزنديمور نفخنا	libya
TRAIN_8039	مامعاه حق صراحه	ksa
TRAIN_3624	الحياة مرسومه بإبتسامتك ، عيونك تحكي عمر جديد لقلبي ، ضحكتك جنه مايحس بنعيمها غيري	oman
TRAIN_10870	- حبيبي والله مادري وش ارد على ذا بس اسعدتني والله - وشصايور ؟ URL	tunisia
TRAIN_5833	صحي شو الهدية	syria
TRAIN_9887	لما أشوف واحدة من دفعة أصغر مننا بتكراش ع واحد من دفعتنا وهتموت عليه هتموتي ع إيه ده عندنا بيضربوه بالشبشب URL	morocco
TRAIN_6128	ملاا نفاق يابن الشعب USER . twitter.com / kR8NFnFA89	jordan
TRAIN_13731	يوجعني الهوة من اتنفسة بفركاك لان وياك عندي بكل نفس ذكرى #KZD URL	algeria
TRAIN_634	عصبي بس عسل URL …	egypt
TRAIN_3687	كل عام و انت بالف خير ينعاد عليك بالخير و البركة USER	algeria
TRAIN_4271	رحتي أنتيك يلي بنفس الشارع ؟	palestine
TRAIN_186	ماشي فرق حتى فالخصم نفس الشي	oman
TRAIN_11230	' \ ' USER : تدري وش أقسى كلمة تمر ب شفاك ؟ لامر بك غالي . . وناديت ☽يآحيف☾ ! \ ' '	ksa
TRAIN_5094	وين النظام العام ؟ URL …	sudan
TRAIN_2647	أرجوك توقف عن إدعاء المثالية ولو كنت فعلا بهذه الروعة توقف عن الحياة ، لأن هذا المكان … — كلام حلو مساء الخير خيتي URL …	iraq
TRAIN_14614	' - ب حلوك ومرك ، أنت لي \ ' . '	uae
TRAIN_11796	من ال100 مش منها	libya
TRAIN_1358	انا اخترت #الخطوط_السبعة، انتوا شو اختياركم ؟ يلا نصوت ونشجع بعض ! #UAENationBrand URL USER	morocco
TRAIN_13573	الفلوس ليست كل شيء ، ولكن كل شيء ب فلوس هني المشكلة	morocco
TRAIN_9846	لاتلمس الجرح ماعادت كفوفك تمون !	qatar
TRAIN_2324	تفضل امانة ما في برد ابدا لك تسلملي كلك زووق	syria
TRAIN_282	انا اليوم قررت اطلع من البيت و اعمل مشوار بس هاد القرار لسا قيد التفكير	syria
TRAIN_8506	وش لازم ادخل فيلم تراب الماس	egypt
TRAIN_7417	متاح تنفيذها بأى اسم و اى شكل واى خامة ' فضة نحاس مطلى نحاس ' و سعرها حلو على قد الايد URL	egypt
TRAIN_7566	USER اش اسم الموسسه	ksa
TRAIN_15703	( الواسطه ) غطت على كل قانون خلت رخوم الناس مثل الذيابه حتى العمى فالواسطه ركب عيون يعني حقوق الغير راحت نهابه !	oman
TRAIN_7300	خلي قلبك ابيض . . واتكلي على الله الناس ماعندهم مايديرو غير لكلام	algeria
TRAIN_18344	قبل ما أدخل كنت مقررة مصاحبش أي حد مغترب والحمدلله محصلش URL …	egypt
TRAIN_5791	ياريت تتفضل علينا وتظهر شوية	egypt
TRAIN_6968	الله لا تربحهم	algeria
TRAIN_10967	جهزى نفسك يا بركه	lebanon
TRAIN_2683	كرهني و كذابين و مهم جدا و معظم أغاني فيروز	iraq
TRAIN_18601	اني حبيت وفرحانه ومادري كيف هالشعور	uae
TRAIN_11975	بالوضع هذا تحتاجون معلم صعوبات التعلم الى متى هالتخصص شبه مهمش بالتعليم مع انه مهم جدا USER	ksa
TRAIN_8160	ينعن عينه اللي يزعلك	palestine
TRAIN_7242	علولو رجعع يااولاد المرجوعه	egypt
TRAIN_15297	أروع ناس و تعلمت منهم برشا حاجات و أنا فخور بمعرفتهم URL …	tunisia
